Rubi Lascado	1063202121	normal	Rubi
Rubi com Falhas	4118043226	magic	Rubi
Rubi	1036942682	magic	Rubi
Rubi Perfeito	1298431322	rare	Rubi
Rubi Quadrado	1029995866	rare	Rubi
Rubi Quadrado Perfeito	1305214089	rare	Rubi
Rubi Estrela	1305214090	legendary	Rubi
Rubi Estrela Perfeito	1305214091	legendary	Rubi
Rubi Estrela Radiante	1305214092	legendary	Rubi
Rubi Imperial	1305214093	legendary	Rubi
Rubi Imperial Perfeito	1305214094	legendary	Rubi
Rubi Real	1305214095	legendary	Rubi
Rubi Real Perfeito	1305214096	legendary	Rubi
Rubi Marquise	1305214097	ancient	Rubi
Rubi Imperial Impecável	1305214098	ancient	Rubi
Rubi Real Impecável	1305214099	primal	Rubi
Esmeralda Lascada	1063202122	normal	Esmeralda
Esmeralda com Falhas	4118043227	magic	Esmeralda
Esmeralda	1036942683	magic	Esmeralda
Esmeralda Perfeita	1298431323	rare	Esmeralda
Esmeralda Quadrada	1029995867	rare	Esmeralda
Esmeralda Quadrada Perfeita	1305214101	rare	Esmeralda
Esmeralda Estrela	1305214102	legendary	Esmeralda
Esmeralda Estrela Perfeita	1305214103	legendary	Esmeralda
Esmeralda Estrela Radiante	1305214104	legendary	Esmeralda
Esmeralda Imperial	1305214105	legendary	Esmeralda
Esmeralda Imperial Perfeita	1305214106	legendary	Esmeralda
Esmeralda Real	1305214107	legendary	Esmeralda
Esmeralda Real Perfeita	1305214108	legendary	Esmeralda
Esmeralda Marquise	1305214109	ancient	Esmeralda
Esmeralda Imperial Impecável	1305214110	ancient	Esmeralda
Esmeralda Real Impecável	1305214111	primal	Esmeralda
Topázio Lascado	1063202123	normal	Topázio
Topázio com Falhas	4118043228	magic	Topázio
Topázio	1036942684	magic	Topázio
Topázio Perfeito	1298431324	rare	Topázio
Topázio Quadrado	1029995868	rare	Topázio
Topázio Quadrado Perfeito	1305214113	rare	Topázio
Topázio Estrela	1305214114	legendary	Topázio
Topázio Estrela Perfeito	1305214115	legendary	Topázio
Topázio Estrela Radiante	1305214116	legendary	Topázio
Topázio Imperial	1305214117	legendary	Topázio
Topázio Imperial Perfeito	1305214118	legendary	Topázio
Topázio Real	1305214119	legendary	Topázio
Topázio Real Perfeito	1305214120	legendary	Topázio
Topázio Marquise	1305214121	ancient	Topázio
Topázio Imperial Impecável	1305214122	ancient	Topázio
Topázio Real Impecável	1305214123	primal	Topázio
Ametista Lascada	1063202124	normal	Ametista
Ametista com Falhas	4118043229	magic	Ametista
Ametista	1036942685	magic	Ametista
Ametista Perfeita	1298431325	rare	Ametista
Ametista Quadrada	1029995869	rare	Ametista
Ametista Quadrada Perfeita	1305214125	rare	Ametista
Ametista Estrela	1305214126	legendary	Ametista
Ametista Estrela Perfeita	1305214127	legendary	Ametista
Ametista Estrela Radiante	1305214128	legendary	Ametista
Ametista Imperial	1305214129	legendary	Ametista
Ametista Imperial Perfeita	1305214130	legendary	Ametista
Ametista Real	1305214131	legendary	Ametista
Ametista Real Perfeita	1305214132	legendary	Ametista
Ametista Marquise	1305214133	ancient	Ametista
Ametista Imperial Impecável	1305214134	ancient	Ametista
Ametista Real Impecável	1305214135	primal	Ametista
Diamante Lascado	1063202125	normal	Diamante
Diamante com Falhas	4118043230	magic	Diamante
Diamante	1036942686	magic	Diamante
Diamante Perfeito	1298431326	rare	Diamante
Diamante Quadrado	1029995870	rare	Diamante
Diamante Quadrado Perfeito	1305214137	rare	Diamante
Diamante Estrela	1305214138	legendary	Diamante
Diamante Estrela Perfeito	1305214139	legendary	Diamante
Diamante Estrela Radiante	1305214140	legendary	Diamante
Diamante Imperial	1305214141	legendary	Diamante
Diamante Imperial Perfeito	1305214142	legendary	Diamante
Diamante Real	1305214143	legendary	Diamante
Diamante Real Perfeito	1305214144	legendary	Diamante
Diamante Marquise	1305214145	ancient	Diamante
Diamante Imperial Impecável	1305214146	ancient	Diamante
Diamante Real Impecável	1305214147	primal	Diamante
Poção de Saúde	2620477281	normal	Poção
Poção Maior	1443380439	magic	Poção
AllStats 1 (of Mastery)	4256531385	normal	Afixo
AllStats 1 Legendary	4240805524	normal	Afixo
AllStats 10 (of Perfection)	3026582281	normal	Afixo
AllStats 10 Legendary	2494523876	normal	Afixo
AllStats 11 (of Perfection)	3026582282	normal	Afixo
AllStats 11 Legendary	437002021	normal	Afixo
AllStats 12 (of Perfection)	3026582283	normal	Afixo
AllStats 12 Legendary	2674447462	normal	Afixo
AllStats 13 (of Perfection)	3026582284	normal	Afixo
AllStats 13 Legendary	616925607	normal	Afixo
AllStats 14 (of Perfection)	3026582285	normal	Afixo
AllStats 14 Legendary	2854371048	normal	Afixo
AllStats 15 (of Perfection)	3026582286	normal	Afixo
AllStats 15 Legendary	796849193	normal	Afixo
AllStats 16 (of Perfection)	3026582287	normal	Afixo
AllStats 16 Legendary	3034294634	normal	Afixo
AllStats 17 (of Perfection)	3026582288	normal	Afixo
AllStats 17 Legendary	976772779	normal	Afixo
AllStats 18 (of Perfection)	3026582289	normal	Afixo
AllStats 19 (of Perfection)	3026582290	normal	Afixo
AllStats 2 (of Mastery)	4256531386	normal	Afixo
AllStats 2 Legendary	2183283669	normal	Afixo
AllStats 20 (of Perfection)	3026582314	normal	Afixo
AllStats 3 (of Mastery)	4256531387	normal	Afixo
AllStats 3 Legendary	125761814	normal	Afixo
AllStats 4 (of Excellence)	4256531388	normal	Afixo
AllStats 4 Legendary	2363207255	normal	Afixo
AllStats 5 (of Excellence)	4256531389	normal	Afixo
AllStats 5 Legendary	305685400	normal	Afixo
AllStats 6 (of Dominance)	4256531390	normal	Afixo
AllStats 6 Legendary	2543130841	normal	Afixo
AllStats 7 (of Dominance)	4256531391	normal	Afixo
AllStats 7 Legendary	485608986	normal	Afixo
AllStats 8 (of Perfection)	4256531392	normal	Afixo
AllStats 8 Legendary	2723054427	normal	Afixo
AllStats 9 (of Perfection)	4256531393	normal	Afixo
AllStats 9 Legendary	665532572	normal	Afixo
AllStats1H 1 Legendary	2628414669	normal	Afixo
AllStats1H 11 Legendary	3062678654	normal	Afixo
AllStats1H 12 Legendary	1005156799	normal	Afixo
AllStats1H 13 Legendary	3242602240	normal	Afixo
AllStats1H 14 Legendary	1185080385	normal	Afixo
AllStats1H 15 Legendary	3422525826	normal	Afixo
AllStats1H 16 Legendary	1365003971	normal	Afixo
AllStats1H 17 Legendary	3602449412	normal	Afixo
AllStats1H 2 Legendary	570892814	normal	Afixo
AllStats1H 3 Legendary	2808338255	normal	Afixo
